"region_id","common","class","sciname","category","status","year"
1,NA,"anthozoa","echinophyllia aspera","LC",1,2020
1,NA,"anthozoa","montipora angulata","VU",0.6,2020
1,NA,"anthozoa","acropora austera","NT",0.8,2020
1,NA,"anthozoa","pavona maldivensis","LC",1,2020
1,NA,"anthozoa","montipora venosa","NT",0.8,2020
1,"finger coral","anthozoa","acropora humilis","NT",0.8,2020
1,NA,"anthozoa","turbinaria reniformis","VU",0.6,2020
1,NA,"anthozoa","echinopora lamellosa","LC",1,2020
1,"head coral","anthozoa","favia favus","LC",1,2020
1,NA,"anthozoa","montipora floweri","LC",1,2020
1,NA,"anthozoa","acropora tortuosa","LC",1,2020
1,NA,"anthozoa","psammocora superficialis","LC",1,2020
1,NA,"anthozoa","acropora lutkeni","NT",0.8,2020
1,NA,"anthozoa","montipora spumosa","LC",1,2020
1,NA,"anthozoa","acropora striata","VU",0.6,2020
1,NA,"anthozoa","acropora latistella","LC",1,2020
1,NA,"anthozoa","merulina ampliata","LC",1,2020
1,NA,"anthozoa","montipora lobulata","VU",0.6,2020
1,NA,"anthozoa","stylocoeniella armata","LC",1,2020
1,NA,"anthozoa","madracis kirbyi","LC",1,2020
1,NA,"anthozoa","favites complanata","NT",0.8,2020
1,NA,"anthozoa","montipora turgescens","LC",1,2020
1,NA,"anthozoa","acropora nasuta","NT",0.8,2020
1,NA,"anthozoa","favites russelli","NT",0.8,2020
1,NA,"anthozoa","acropora elseyi","LC",1,2020
1,NA,"anthozoa","acropora gemmifera","LC",1,2020
1,NA,"anthozoa","montipora danae","LC",1,2020
1,NA,"anthozoa","fungia scutaria","LC",1,2020
1,NA,"anthozoa","porites lutea","LC",1,2020
1,NA,"anthozoa","montipora effusa","NT",0.8,2020
1,NA,"anthozoa","platygyra pini","LC",1,2020
1,NA,"anthozoa","fungia tenuis","LC",1,2020
1,NA,"anthozoa","montipora aequituberculata","LC",1,2020
1,NA,"anthozoa","astreopora randalli","LC",1,2020
1,NA,"anthozoa","mycedium elephantotus","LC",1,2020
1,NA,"anthozoa","acropora valida","LC",1,2020
1,NA,"anthozoa","cyphastrea chalcidicum","LC",1,2020
1,NA,"anthozoa","porites latistella","LC",1,2020
1,NA,"anthozoa","barabattoia amicorum","LC",1,2020
1,NA,"anthozoa","porites arnaudi","LC",1,2020
1,NA,"anthozoa","pocillopora woodjonesi","LC",1,2020
1,NA,"anthozoa","montipora caliculata","VU",0.6,2020
1,NA,"anthozoa","fungia sinensis","LC",1,2020
1,"brush coral","anthozoa","acropora hyacinthus","NT",0.8,2020
1,NA,"anthozoa","acropora vaughani","VU",0.6,2020
1,"elongate mushroom coral","anthozoa","fungia paumotensis","LC",1,2020
1,NA,"anthozoa","acropora sarmentosa","LC",1,2020
1,NA,"anthozoa","pocillopora eydouxi","NT",0.8,2020
1,NA,"anthozoa","pavona clavus","LC",1,2020
1,NA,"anthozoa","porites lobata","NT",0.8,2020
1,NA,"anthozoa","echinophyllia echinata","LC",1,2020
1,NA,"anthozoa","favia matthaii","NT",0.8,2020
1,"thin birdsnest coral","anthozoa","seriatopora hystrix","LC",1,2020
1,NA,"anthozoa","acropora granulosa","NT",0.8,2020
1,NA,"anthozoa","fungia repanda","LC",1,2020
1,"staghorn coral","anthozoa","acropora formosa","NT",0.8,2020
1,NA,"anthozoa","leptoseris solida","LC",1,2020
1,NA,"anthozoa","cyphastrea microphthalma","LC",1,2020
1,NA,"anthozoa","ctenactis echinata","LC",1,2020
1,NA,"anthozoa","fungia horrida","LC",1,2020
1,"firecoral","hydrozoa","millepora platyphylla","LC",1,2020
1,"largebrain root coral","anthozoa","lobophyllia hemprichii","LC",1,2020
1,"common mushroom coral","anthozoa","fungia fungites","NT",0.8,2020
1,NA,"anthozoa","porites lichen","LC",1,2020
1,NA,"anthozoa","pavona duerdeni","LC",1,2020
1,NA,"anthozoa","acropora horrida","VU",0.6,2020
1,NA,"anthozoa","montipora verrucosa","LC",1,2020
1,NA,"anthozoa","favia speciosa","LC",1,2020
1,NA,"anthozoa","scolymia vitiensis","NT",0.8,2020
1,NA,"anthozoa","porites murrayensis","NT",0.8,2020
1,NA,"anthozoa","acropora nobilis","LC",1,2020
1,NA,"anthozoa","goniopora stutchburyi","LC",1,2020
1,NA,"anthozoa","porites solida","LC",1,2020
1,NA,"anthozoa","acropora paniculata","VU",0.6,2020
1,NA,"anthozoa","leptoseris incrustans","VU",0.6,2020
1,NA,"anthozoa","acropora longicyathus","LC",1,2020
1,NA,"anthozoa","ctenactis crassa","LC",1,2020
1,NA,"anthozoa","fungia scruposa","LC",1,2020
1,NA,"anthozoa","montipora foveolata","NT",0.8,2020
1,NA,"anthozoa","coscinaraea exesa","LC",1,2020
1,NA,"anthozoa","herpolitha limax","LC",1,2020
1,NA,"anthozoa","acropora microphthalma","LC",1,2020
1,NA,"anthozoa","montipora millepora","LC",1,2020
1,NA,"anthozoa","hydnophora microconos","NT",0.8,2020
1,"cauliflower coral","anthozoa","pocillopora damicornis","LC",1,2020
1,"brain coral","anthozoa","platygyra daedalea","LC",1,2020
1,NA,"anthozoa","turbinaria mesenterina","VU",0.6,2020
1,NA,"anthozoa","fungia concinna","LC",1,2020
1,NA,"anthozoa","echinopora gemmacea","LC",1,2020
1,NA,"anthozoa","leptastrea bottae","NT",0.8,2020
1,NA,"anthozoa","goniastrea aspera","LC",1,2020
1,NA,"anthozoa","platygyra sinensis","LC",1,2020
1,NA,"anthozoa","alveopora spongiosa","NT",0.8,2020
1,NA,"anthozoa","sandalolitha dentata","LC",1,2020
1,"distorted mushroom coral","anthozoa","fungia distorta","LC",1,2020
1,NA,"anthozoa","coscinaraea columna","LC",1,2020
1,NA,"anthozoa","montipora tuberculosa","LC",1,2020
1,NA,"anthozoa","montipora hoffmeisteri","LC",1,2020
1,NA,"anthozoa","acropora robusta","LC",1,2020
1,NA,"anthozoa","montipora hispida","LC",1,2020
1,NA,"anthozoa","goniastrea pectinata","LC",1,2020
1,NA,"anthozoa","favites flexuosa","NT",0.8,2020
1,NA,"anthozoa","leptastrea purpurea","LC",1,2020
1,NA,"anthozoa","fungia granulosa","LC",1,2020
1,NA,"anthozoa","gardineroseris planulata","LC",1,2020
1,NA,"anthozoa","acropora globiceps","VU",0.6,2020
1,NA,"anthozoa","psammocora profundacella","LC",1,2020
1,NA,"anthozoa","montipora efflorescens","NT",0.8,2020
1,NA,"anthozoa","pocillopora elegans","VU",0.6,2020
1,NA,"anthozoa","acropora secale","NT",0.8,2020
1,NA,"anthozoa","favites abdita","NT",0.8,2020
1,NA,"anthozoa","acropora carduus","NT",0.8,2020
1,NA,"anthozoa","pavona explanulata","LC",1,2020
1,NA,"anthozoa","psammocora contigua","NT",0.8,2020
1,NA,"anthozoa","fungia scabra","LC",1,2020
1,NA,"anthozoa","porites australiensis","LC",1,2020
1,NA,"anthozoa","alveopora verrilliana","VU",0.6,2020
1,NA,"anthozoa","cyphastrea serailia","LC",1,2020
1,NA,"anthozoa","acropora loripes","NT",0.8,2020
1,NA,"anthozoa","psammocora digitata","NT",0.8,2020
1,NA,"anthozoa","montipora foliosa","NT",0.8,2020
1,"cactus coral","anthozoa","pavona decussata","VU",0.6,2020
1,NA,"anthozoa","acropora digitifera","NT",0.8,2020
1,NA,"anthozoa","psammocora explanulata","LC",1,2020
1,NA,"anthozoa","galaxea fascicularis","NT",0.8,2020
1,NA,"anthozoa","leptoseris hawaiiensis","LC",1,2020
1,"brain root coral","anthozoa","lobophyllia corymbosa","LC",1,2020
1,"rasp coral","anthozoa","pocillopora verrucosa","LC",1,2020
1,NA,"anthozoa","acropora pulchra","LC",1,2020
1,NA,"anthozoa","goniopora minor","NT",0.8,2020
1,NA,"anthozoa","acanthastrea echinata","LC",1,2020
1,NA,"anthozoa","plesiastrea versipora","LC",1,2020
1,NA,"anthozoa","pavona bipartita","VU",0.6,2020
1,NA,"anthozoa","fungia costulata","LC",1,2020
1,NA,"anthozoa","pocillopora capitata","LC",1,2020
1,NA,"anthozoa","montastrea curta","LC",1,2020
1,NA,"anthozoa","acropora monticulosa","NT",0.8,2020
1,NA,"anthozoa","stylocoeniella guentheri","LC",1,2020
1,NA,"anthozoa","pocillopora ligulata","LC",1,2020
1,"yellow-banded sergeant-major","actinopterygii","abudefduf sordidus","LC",1,2020
1,"yellow-speckled chromis","actinopterygii","chromis alpha","LC",1,2020
1,"five-banded sergeant-major","actinopterygii","abudefduf vaigiensis","LC",1,2020
1,"seven-banded sergeant-major","actinopterygii","abudefduf septemfasciatus","LC",1,2020
1,"scissortail sergeant","actinopterygii","abudefduf sexfasciatus","LC",1,2020
1,"camouflage grouper","actinopterygii","epinephelus polyphekadion","VU",0.6,2020
1,"leopard hind","actinopterygii","cephalopholis leopardus","LC",1,2020
1,"blacksaddled coral grouper","actinopterygii","plectropomus laevis","LC",1,2020
1,"greasy grouper","actinopterygii","epinephelus tauvina","DD",NA,2020
1,"eightbar grouper","actinopterygii","hyporthodus octofasciatus","LC",1,2020
1,"garish hind","actinopterygii","cephalopholis igarashiensis","LC",1,2020
1,"peacock grouper","actinopterygii","cephalopholis argus","LC",1,2020
1,"harlequin hind","actinopterygii","cephalopholis polleni","LC",1,2020
1,"strawberry hind","actinopterygii","cephalopholis spiloparaea","LC",1,2020
