rgn_id,stock_id,year,bbmsy
1,Thunnus_albacares-77,2012,1.24
1,Thunnus_albacares-77,2013,1.21
1,Thunnus_albacares-77,2014,1.35
1,Thunnus_albacares-77,2015,1.44
1,Thunnus_obesus-77,2001,1.17
1,Thunnus_obesus-77,2002,1.19
1,Thunnus_obesus-77,2003,1.16
1,Thunnus_obesus-77,2004,1.21
1,Thunnus_obesus-77,2005,1.15
1,Thunnus_obesus-77,2006,1.12
1,Thunnus_obesus-77,2007,1.06
1,Thunnus_obesus-77,2008,1.03
1,Thunnus_obesus-77,2009,0.987
1,Thunnus_obesus-77,2010,0.924
1,Thunnus_obesus-77,2011,0.921
1,Thunnus_obesus-77,2012,1.49
1,Thunnus_obesus-77,2013,1.48
1,Thunnus_obesus-77,2014,1.62
1,Thunnus_obesus-77,2015,1.318352
1,Xiphias_gladius-77,2001,1.22
1,Xiphias_gladius-77,2002,1.24
1,Xiphias_gladius-77,2003,1.18
1,Xiphias_gladius-77,2004,1.21
1,Xiphias_gladius-77,2005,1.22
1,Xiphias_gladius-77,2006,1.26
1,Xiphias_gladius-77,2007,1.19
1,Xiphias_gladius-77,2008,1.13
1,Xiphias_gladius-77,2009,1.13
1,Xiphias_gladius-77,2010,1.14
1,Xiphias_gladius-77,2011,1.13
1,Xiphias_gladius-77,2012,1.19
1,Xiphias_gladius-77,2013,1.133485
1,Xiphias_gladius-77,2014,1.125303
1,Xiphias_gladius-77,2015,1.117121
