rgn_id,year,pressure_score
1,2007,3.53552510326876e-8
1,2008,0
1,2009,0
1,2010,0
1,2011,0
1,2012,0
1,2013,1.27015513161569e-8
1,2014,1.27015513161569e-8
1,2015,1.41510227720837e-8
1,2016,4.19141925291291e-8
1,2017,4.19141925291291e-8
