"region_id","year","pressure_score"
1,1958,0.0875431551809591
1,1959,0.084899932175684
1,1960,0.0863491458834958
1,1961,0.0825892816817739
1,1962,0.0892649633056784
1,1963,0.0832424555848119
1,1964,0.09031256677091
1,1965,0.0939597272064441
1,1966,0.110706064568817
1,1967,0.11581626841655
1,1968,0.118356016130855
1,1969,0.103360527810046
1,1970,0.108455425771106
1,1971,0.132540752542243
1,1972,0.114365090301259
1,1973,0.125771424781548
1,1974,0.137654197397608
1,1975,0.128644878236166
1,1976,0.136224144170444
1,1977,0.114197079114322
1,1978,0.118748751010804
1,1979,0.11170751964752
1,1980,0.110833309732463
1,1981,0.119427887948932
1,1982,0.10863998757712
1,1983,0.123131235584997
1,1984,0.139659905332439
1,1985,0.143303659450139
1,1986,0.139385818060033
1,1987,0.126791731893526
1,1988,0.137241897713335
1,1989,0.161512014396509
1,1990,0.16284171668457
1,1991,0.138706317779158
1,1992,0.137730658230379
1,1993,0.147314511019082
1,1994,0.14005720622994
1,1995,0.136728586327847
1,1996,0.152601667697913
1,1997,0.161786316197373
1,1998,0.17846103348024
1,1999,0.184153493935289
1,2000,0.178656120176578
1,2001,0.179635009724482
1,2002,0.180273176674349
1,2003,0.175019470564452
1,2004,0.18157446270424
1,2005,0.181970491861357
1,2006,0.182283363665033
1,2007,0.184195610753123
1,2008,0.202088635681771
1,2009,0.199849509621556
1,2010,0.196370144997016
1,2011,0.218593037441602
1,2012,0.201358496480166
1,2013,0.213750742396065
1,2014,0.22194287506567
1,2015,0.213280246153123
1,2016,0.206611375163183
