rgn_id,year,pressure_score
1,1996,0.314896101147696
1,1998,0.310192569048236
1,2000,0.304336685236566
1,2002,0.308828788089939
1,2003,0.314518787015009
1,2004,0.332796485809067
1,2005,0.324953248497837
1,2006,0.339231717230358
1,2007,0.332235779391003
1,2008,0.328924219181018
1,2009,0.340267285771096
1,2010,0.34069986352243
1,2011,0.336432219269808
1,2012,0.334143977311552
1,2013,0.341565136707319
1,2014,0.321034430655349
1,2015,0.324308815363878
1,2016,0.33190477676475
1,2017,0.332227795998933
