rgn_id,year,resilience.score
1,2000,0
1,2001,0.0385562485955083
1,2002,0.0385562485955083
1,2003,0.0385562485955083
1,2004,0.0385562485955083
1,2005,0.0385562485955083
1,2006,0.0385562485955083
1,2007,0.0385562485955083
1,2008,0.0385562485955083
1,2009,0.504788490626965
1,2010,0.504788490626965
1,2011,0.504788490626965
1,2012,0.504788490626965
1,2013,0.504788490626965
1,2014,0.504788490626965
1,2015,0.504788490626965
1,2016,0.504788490626965
1,2017,0.504788490626965
1,2018,0.504788490626965
1,2019,0.504788490626965
