rgn_id,year,pressure_score
1,1958,0.124572704330644
1,1959,0.134891631213313
1,1960,0.137746443483799
1,1961,0.148937249114323
1,1962,0.146944285654016
1,1963,0.129082989463198
1,1964,0.126331664456923
1,1965,0.12563571780188099
1,1966,0.123308076545857
1,1967,0.141252454765804
1,1968,0.141843960746248
1,1969,0.129746842081515
1,1970,0.139650863497252
1,1971,0.134772047201421
1,1972,0.140015765948978
1,1973,0.151675510617483
1,1974,0.154315782968162
1,1975,0.152030437624444
1,1976,0.126946950832722
1,1977,0.144247696972717
1,1978,0.153382234065082
1,1979,0.113084726608296
1,1980,0.149250047592366
1,1981,0.13704151021457
1,1982,0.114865364785341
1,1983,0.154750453570338
1,1984,0.173522666288941
1,1985,0.145565953124926
1,1986,0.166550960791982
1,1987,0.129808177697957
1,1988,0.147876700693869
1,1989,0.17029960333933
1,1990,0.169320787531652
1,1991,0.162074825464221
1,1992,0.164910710737063
1,1993,0.154480730154848
1,1994,0.178562153748103
1,1995,0.177100733893496
1,1996,0.173890336423425
1,1997,0.174310822388492
1,1998,0.200151341887217
1,1999,0.191893624492717
1,2000,0.219231360075875
1,2001,0.179796014545424
1,2002,0.199129619972756
1,2003,0.19729881891248
1,2004,0.182181794262657
1,2005,0.184738773730088
1,2006,0.184362091054483
1,2007,0.194046574631144
1,2008,0.210451665462712
1,2009,0.188851928874009
1,2010,0.199369624099553
1,2011,0.203898364276616
1,2012,0.208294109205668
1,2013,0.16851395730205
1,2014,0.181534203011196
1,2015,0.165795802679342
1,2016,0.174026497031572
1,2017,0.184896599655295
1,2018,0.177042621659563
1,2019,0.181260483735562
1,2020,0.187594384287989
