"","rgn_id","year","status"
"1",1,2000,1
"2",1,2001,1
"3",1,2002,1
"4",1,2003,1
"5",1,2004,1
"6",1,2005,1
"7",1,2006,1
"8",1,2007,1
"9",1,2008,1
"10",1,2009,1
"11",1,2010,1
"12",1,2011,1
"13",1,2012,1
"14",1,2013,1
"15",1,2014,1
"16",1,2015,1
"17",1,2016,1
"18",1,2017,1
"19",1,2018,1
"20",1,2019,1
"21",1,2020,1
