rgn_id,year,pressure_score
1,1993,0.0823601853242799
1,1994,0.0674206588909375
1,1995,0.150000857748176
1,1996,0.101568636735136
1,1997,0
1,1998,0.102302745826749
1,1999,0.00570758802649707
1,2000,0.0713905940036096
1,2001,0.0885740481875076
1,2002,0.0926841456329774
1,2003,0.133226569997307
1,2004,0.227484210189288
1,2005,0.107502446211012
1,2006,0.0847805934944209
1,2007,0.110381371775812
1,2008,0
1,2009,0.0393849155006155
1,2010,0.133937475501923
1,2011,0.115530984950536
1,2012,0.051819308078795
1,2013,0.145338957729363
1,2014,0.19541598176664
1,2015,0.0549821046342092
1,2016,0.396715128632821
1,2017,0.303951001389158
1,2018,0.363663665162289
